epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.218,1.4525,3.19332,1.64037,0.43027,0.33498,0.30636,0.16381,1.51298,2.63591,1.74727,0.00333167,0.00333167,0.00333167
2,426.528,1.35254,2.2534,1.56748,0.55529,0.47173,0.46404,0.26325,1.43638,2.03381,1.73723,0.00659902,0.00659902,0.00659902
3,637.337,1.42012,2.08452,1.62198,0.54204,0.38592,0.42146,0.23749,1.57694,1.98999,1.85729,0.00980037,0.00980037,0.00980037
4,856.057,1.48578,2.01441,1.66943,0.63942,0.50152,0.54754,0.30377,1.48801,1.6778,1.72366,0.009703,0.009703,0.009703
5,1063.42,1.40806,1.78199,1.60664,0.60886,0.51995,0.5526,0.32053,1.43528,1.61385,1.69127,0.009604,0.009604,0.009604
6,1271.69,1.34455,1.62502,1.56206,0.67696,0.55498,0.57981,0.35088,1.32834,1.41108,1.60026,0.009505,0.009505,0.009505
7,1473.42,1.31279,1.55181,1.54314,0.711,0.62724,0.67095,0.41837,1.24962,1.3212,1.51343,0.009406,0.009406,0.009406
8,1693.52,1.27419,1.459,1.50386,0.70126,0.62138,0.64081,0.39287,1.23371,1.26981,1.51434,0.009307,0.009307,0.009307
9,1930.49,1.24007,1.38702,1.47699,0.68928,0.61581,0.64973,0.3957,1.23635,1.19579,1.48748,0.009208,0.009208,0.009208
10,20423.1,1.21156,1.34905,1.46147,0.75855,0.63451,0.70383,0.44533,1.19555,1.14094,1.4517,0.009109,0.009109,0.009109
11,20654.9,1.18685,1.27609,1.43502,0.72774,0.63143,0.70226,0.44975,1.15184,1.14262,1.41399,0.00901,0.00901,0.00901
12,20867.6,1.16852,1.2455,1.42601,0.76343,0.6605,0.73412,0.46312,1.1544,1.07021,1.41384,0.008911,0.008911,0.008911
13,21082.7,1.16167,1.21539,1.41291,0.79878,0.67421,0.75866,0.48182,1.13597,1.03782,1.39507,0.008812,0.008812,0.008812
14,21287,1.1338,1.16762,1.39607,0.83473,0.67476,0.77239,0.49873,1.11608,0.99479,1.36456,0.008713,0.008713,0.008713
15,21493.1,1.13302,1.15598,1.39415,0.75463,0.69782,0.76619,0.49577,1.10593,0.98129,1.36629,0.008614,0.008614,0.008614
16,21775.9,1.12115,1.13334,1.38035,0.78218,0.70129,0.75711,0.49808,1.08869,0.97218,1.34414,0.008515,0.008515,0.008515
17,22021.2,1.1015,1.10345,1.36579,0.79857,0.71701,0.7963,0.52482,1.07122,0.94955,1.32417,0.008416,0.008416,0.008416
18,22230.9,1.0856,1.07863,1.34969,0.83498,0.7124,0.7967,0.52925,1.06701,0.91262,1.31033,0.008317,0.008317,0.008317
19,22434.5,1.07994,1.06268,1.34623,0.78894,0.733,0.79824,0.53377,1.0455,0.87843,1.29837,0.008218,0.008218,0.008218
20,22656.9,1.06921,1.03743,1.33923,0.84359,0.71032,0.80008,0.539,1.04926,0.88746,1.30625,0.008119,0.008119,0.008119
21,22875.7,1.05774,1.03174,1.33318,0.83823,0.73877,0.81592,0.54084,1.04828,0.86496,1.30301,0.00802,0.00802,0.00802
22,23095.5,1.05117,1.01332,1.32405,0.8371,0.74137,0.82017,0.55116,1.03341,0.85177,1.27011,0.007921,0.007921,0.007921
23,23323.2,1.04392,0.99049,1.32059,0.8189,0.73155,0.8158,0.54122,1.04633,0.85741,1.28754,0.007822,0.007822,0.007822
24,23593.3,1.02254,0.97493,1.30673,0.85743,0.73719,0.83393,0.55498,1.03439,0.83719,1.28145,0.007723,0.007723,0.007723
25,23858.7,1.02995,0.96756,1.31039,0.84442,0.74104,0.82959,0.55611,1.01667,0.82682,1.27166,0.007624,0.007624,0.007624
26,24105.5,1.02761,0.96169,1.31401,0.85595,0.74549,0.82946,0.56372,1.00927,0.80389,1.25075,0.007525,0.007525,0.007525
27,24342.5,0.9992,0.9207,1.2883,0.86404,0.74721,0.84085,0.57771,1.00463,0.79225,1.24397,0.007426,0.007426,0.007426
28,24571.9,1.00627,0.93329,1.28623,0.85499,0.74012,0.83748,0.57899,0.98068,0.77592,1.23591,0.007327,0.007327,0.007327
29,24781.2,0.99049,0.91922,1.28171,0.873,0.74773,0.84684,0.58529,0.9677,0.76442,1.21353,0.007228,0.007228,0.007228
30,24992.3,0.98504,0.90083,1.27696,0.84854,0.76691,0.84874,0.58189,0.97388,0.76691,1.22448,0.007129,0.007129,0.007129
31,25185.6,0.99045,0.8989,1.27895,0.86685,0.77728,0.85516,0.58916,0.96629,0.74688,1.21208,0.00703,0.00703,0.00703
32,25386.3,0.98123,0.88,1.27443,0.87027,0.77262,0.85626,0.59268,0.97235,0.74265,1.212,0.006931,0.006931,0.006931
33,25573.8,0.96391,0.86558,1.26036,0.87196,0.76735,0.85179,0.58874,0.96737,0.74032,1.19981,0.006832,0.006832,0.006832
34,25805.7,0.96099,0.86454,1.25393,0.86847,0.77093,0.86082,0.59827,0.94569,0.71558,1.19156,0.006733,0.006733,0.006733
35,26007.9,0.96895,0.87244,1.26459,0.86921,0.77391,0.86174,0.60725,0.93425,0.70567,1.1875,0.006634,0.006634,0.006634
36,26197.9,0.94625,0.83956,1.24922,0.88697,0.77266,0.86089,0.604,0.95279,0.69996,1.19391,0.006535,0.006535,0.006535
37,26421.9,0.94797,0.83895,1.25151,0.89124,0.78624,0.87136,0.61339,0.93082,0.69105,1.17519,0.006436,0.006436,0.006436
38,26617.7,0.95576,0.83241,1.24731,0.8913,0.78202,0.87354,0.61339,0.93439,0.69652,1.18124,0.006337,0.006337,0.006337
39,26821.5,0.93755,0.8261,1.24381,0.88734,0.76788,0.86261,0.61092,0.91745,0.69529,1.16476,0.006238,0.006238,0.006238
40,27015.6,0.94061,0.82262,1.23569,0.89093,0.78357,0.87157,0.6137,0.91556,0.6779,1.16861,0.006139,0.006139,0.006139
41,27209.5,0.94121,0.8157,1.24306,0.89898,0.78406,0.87959,0.61424,0.92265,0.67531,1.17154,0.00604,0.00604,0.00604
42,404.254,0.98443,0.93436,1.29211,0.86086,0.78321,0.86624,0.60782,0.94892,0.71749,1.20863,0.005941,0.005941,0.005941
43,931.736,0.96876,0.9182,1.28507,0.88833,0.76822,0.86969,0.60475,0.94981,0.71173,1.20495,0.005842,0.005842,0.005842
44,1340.98,0.96361,0.8992,1.2717,0.87881,0.7753,0.86821,0.60876,0.94275,0.70694,1.2016,0.005743,0.005743,0.005743
45,1704.57,0.95629,0.89588,1.27152,0.8902,0.76431,0.86353,0.59882,0.9394,0.71667,1.20103,0.005644,0.005644,0.005644
46,2109.09,0.95815,0.89162,1.27274,0.88233,0.78079,0.87174,0.60067,0.94264,0.71529,1.19611,0.005545,0.005545,0.005545
47,2637.22,0.94423,0.86473,1.26328,0.87657,0.77285,0.86481,0.60582,0.93489,0.70895,1.1812,0.005446,0.005446,0.005446
48,374.052,0.9152,0.82234,1.23644,0.90592,0.76871,0.87407,0.61376,0.93081,0.69144,1.18528,0.005347,0.005347,0.005347
48,158.292,0.8921,0.73607,1.19656,0.89646,0.80243,0.8888,0.63655,0.89423,0.63923,1.13246,0.005347,0.005347,0.005347
49,284.316,0.89972,0.74112,1.19401,0.89771,0.81102,0.89349,0.64112,0.88489,0.63464,1.12496,0.005248,0.005248,0.005248
50,409.937,0.88583,0.72458,1.19146,0.88503,0.8257,0.89451,0.64148,0.88553,0.62423,1.13526,0.005149,0.005149,0.005149
51,535.221,0.87638,0.71139,1.1844,0.91539,0.79965,0.89545,0.64293,0.88113,0.61285,1.11924,0.00505,0.00505,0.00505
52,660.967,0.86782,0.70907,1.18106,0.90215,0.80624,0.89488,0.64655,0.86937,0.60275,1.10498,0.004951,0.004951,0.004951
53,786.602,0.86921,0.70156,1.18006,0.91159,0.8071,0.90015,0.65231,0.86934,0.5999,1.10875,0.004852,0.004852,0.004852
54,912.839,0.86673,0.69845,1.17887,0.91488,0.80521,0.89924,0.65324,0.8617,0.59587,1.10879,0.004753,0.004753,0.004753
55,1043.92,0.85687,0.68581,1.1713,0.87972,0.84071,0.90396,0.65739,0.86129,0.58635,1.10008,0.004654,0.004654,0.004654
56,1173.3,0.84828,0.67226,1.16975,0.89709,0.84411,0.90755,0.66008,0.85151,0.57494,1.09586,0.004555,0.004555,0.004555
57,1302.08,0.84991,0.67306,1.16562,0.9002,0.83099,0.90703,0.66287,0.8448,0.57396,1.09176,0.004456,0.004456,0.004456
58,1429.91,0.85184,0.67034,1.16228,0.9068,0.83078,0.90687,0.66244,0.84247,0.56751,1.08536,0.004357,0.004357,0.004357
59,1557.64,0.8455,0.66943,1.16189,0.8966,0.83961,0.90892,0.66284,0.83829,0.56184,1.08237,0.004258,0.004258,0.004258
60,1688.05,0.83576,0.65516,1.15393,0.91617,0.8299,0.91118,0.66993,0.83922,0.55539,1.08329,0.004159,0.004159,0.004159
61,1816.14,0.83484,0.65137,1.15382,0.90811,0.84367,0.91335,0.66954,0.83188,0.55361,1.07672,0.00406,0.00406,0.00406
62,1945.02,0.82731,0.64714,1.14922,0.90329,0.84433,0.90976,0.66943,0.83511,0.55956,1.07894,0.003961,0.003961,0.003961
63,2074.55,0.81577,0.63592,1.14147,0.89057,0.8517,0.91346,0.67424,0.82778,0.54986,1.07209,0.003862,0.003862,0.003862
64,2203.06,0.82527,0.63717,1.14392,0.91161,0.84057,0.91546,0.67702,0.82328,0.54173,1.07039,0.003763,0.003763,0.003763
65,2332.45,0.81985,0.63593,1.14181,0.90436,0.84662,0.91626,0.67875,0.81668,0.54083,1.06613,0.003664,0.003664,0.003664
66,2460.58,0.80977,0.6299,1.1407,0.89824,0.85071,0.92093,0.67937,0.81441,0.53457,1.06313,0.003565,0.003565,0.003565
67,8335.48,0.8116,0.62932,1.14041,0.91295,0.84549,0.91858,0.68269,0.81187,0.53121,1.06285,0.003466,0.003466,0.003466
68,8462.35,0.79853,0.6148,1.13514,0.91624,0.84271,0.91896,0.67917,0.81162,0.5322,1.06028,0.003367,0.003367,0.003367
69,8590.36,0.80356,0.61606,1.13757,0.91639,0.84027,0.92306,0.68143,0.80752,0.5282,1.05669,0.003268,0.003268,0.003268
70,8771.64,0.79829,0.60522,1.12575,0.91232,0.84417,0.92369,0.68782,0.80493,0.52237,1.05392,0.003169,0.003169,0.003169
71,9017.61,0.79645,0.60459,1.12671,0.91126,0.85231,0.9247,0.6908,0.80008,0.51969,1.04491,0.00307,0.00307,0.00307
72,9215.04,0.79175,0.60386,1.12127,0.92258,0.84915,0.92723,0.69319,0.80003,0.51602,1.04638,0.002971,0.002971,0.002971
73,9431.87,0.78018,0.58682,1.11777,0.91995,0.85318,0.92723,0.69348,0.79704,0.51038,1.04679,0.002872,0.002872,0.002872
74,9664.88,0.79197,0.59227,1.12096,0.91733,0.85336,0.92842,0.69672,0.79388,0.50803,1.04462,0.002773,0.002773,0.002773
75,9876.6,0.78095,0.59121,1.11902,0.91259,0.85982,0.92945,0.69667,0.79595,0.50706,1.04579,0.002674,0.002674,0.002674
76,10118.7,0.77608,0.5832,1.11145,0.90968,0.86165,0.9291,0.70086,0.7893,0.50597,1.04004,0.002575,0.002575,0.002575
77,10362,0.77525,0.58306,1.1149,0.91886,0.85626,0.93101,0.70123,0.78726,0.50305,1.03733,0.002476,0.002476,0.002476
78,10533.6,0.77988,0.586,1.11554,0.92033,0.85416,0.93067,0.70181,0.78824,0.50027,1.03808,0.002377,0.002377,0.002377
79,10664.8,0.77164,0.57431,1.11018,0.91929,0.85721,0.93201,0.70281,0.78697,0.49536,1.03791,0.002278,0.002278,0.002278
80,10857.6,0.7651,0.57207,1.10899,0.92029,0.86264,0.93268,0.70309,0.78231,0.49149,1.03495,0.002179,0.002179,0.002179
81,10994.7,0.75872,0.56535,1.1025,0.92249,0.86481,0.93387,0.70484,0.78151,0.49128,1.03504,0.00208,0.00208,0.00208
82,11124.2,0.76182,0.5635,1.10069,0.9154,0.87212,0.93408,0.70449,0.77778,0.48848,1.03113,0.001981,0.001981,0.001981
83,11254.9,0.745,0.55198,1.09486,0.92365,0.86593,0.93524,0.70696,0.77395,0.48525,1.02754,0.001882,0.001882,0.001882
84,11386.1,0.74326,0.55305,1.09821,0.92785,0.86651,0.93641,0.7089,0.76901,0.48117,1.02453,0.001783,0.001783,0.001783
85,11520,0.74658,0.55248,1.096,0.92822,0.86689,0.93754,0.71048,0.76641,0.47919,1.023,0.001684,0.001684,0.001684
86,11650.1,0.73766,0.54403,1.09435,0.91798,0.87468,0.93776,0.71155,0.76572,0.47752,1.02217,0.001585,0.001585,0.001585
87,11780.3,0.73425,0.53723,1.08322,0.91954,0.8777,0.93805,0.71116,0.76454,0.47539,1.02193,0.001486,0.001486,0.001486
88,11988.9,0.72788,0.535,1.08541,0.92442,0.87291,0.93778,0.71105,0.76396,0.47465,1.02046,0.001387,0.001387,0.001387
89,12215.1,0.72848,0.52698,1.08616,0.92996,0.86852,0.9385,0.7114,0.7632,0.473,1.01964,0.001288,0.001288,0.001288
90,12451.4,0.72786,0.52843,1.08055,0.93015,0.86946,0.93892,0.71202,0.76101,0.47149,1.01753,0.001189,0.001189,0.001189
91,12668.1,0.71608,0.46054,1.07487,0.92797,0.87286,0.93909,0.71183,0.75882,0.46887,1.01633,0.00109,0.00109,0.00109
92,12870.9,0.69833,0.4467,1.06412,0.92317,0.87472,0.93824,0.71308,0.75705,0.46825,1.01617,0.000991,0.000991,0.000991
93,13087.1,0.69539,0.4371,1.0628,0.92257,0.87399,0.93907,0.71497,0.75398,0.46591,1.01466,0.000892,0.000892,0.000892
94,13240.2,0.68878,0.43407,1.05294,0.9323,0.87205,0.93971,0.71597,0.75257,0.46354,1.01381,0.000793,0.000793,0.000793
95,13471.8,0.68101,0.42545,1.05026,0.92445,0.87934,0.94009,0.71826,0.74978,0.46056,1.01216,0.000694,0.000694,0.000694
96,13678.9,0.67119,0.4226,1.04504,0.92528,0.88006,0.94161,0.71975,0.74675,0.45816,1.01051,0.000595,0.000595,0.000595
97,13904.6,0.66744,0.41597,1.04266,0.92872,0.87959,0.94268,0.72073,0.74533,0.45604,1.00972,0.000496,0.000496,0.000496
